time,x acceleration,y acceleration,z acceleration,magnitude acceleration
20.23495554,-0.024345613,0.032062567,0.094722555,0.102922687
20.24502254,-0.005238877,0.004902507,0.069419314,0.069789122
20.25508954,-0.008895004,-0.00966806,0.061775249,0.06315674
20.26515654,-0.002411976,-0.001638609,0.029281687,0.029426516
20.27522454,-0.002025421,-0.011774684,0.021038867,0.024194616
20.28529154,0.024162851,-0.011092479,0.009209365,0.028137144
20.29535854,0.014452709,-0.003601574,-0.008307139,0.017054639
20.30542554,0.005189742,-0.016845773,-0.01069865,0.020619763
20.31549254,0.01395036,-0.005084063,-0.000212839,0.014849429
20.32555954,0.00740982,0.005477745,0.016858692,0.019212668
20.33562654,3.58233E-05,0.012269907,0.037523922,0.039479065
20.34569354,0.005185832,0.024295528,0.055500602,0.060806927
20.35576154,-0.011529083,0.027251095,0.101014159,0.105258739
20.36582854,-0.021426272,0.01286508,0.086945173,0.090465787
20.37589554,-0.016539096,0.016727422,0.114035908,0.116436836
20.38596254,-0.016621871,0.023393065,0.114029476,0.117585048
20.39602954,-0.012741722,0.027966812,0.094709106,0.099570622
20.40609654,-0.009602946,0.003239449,0.07793169,0.078587906
20.41616354,0.002150195,0.005479974,0.065647275,0.065910683
20.42623154,0.005072999,0.012283465,0.051417491,0.053107224
20.43629854,0.005133444,-0.004612339,0.02716441,0.028027327
20.44636554,0.016559205,0.002690286,0.009649075,0.019353283
20.45643254,0.003310502,0.00056623,0.002920099,0.004450508
20.46649954,0.00828376,-0.018542489,-0.015180541,0.025355343
20.47656654,0.036093876,-0.00853995,0.014620963,0.039868172
20.48663354,0.008132554,-0.017353239,0.024060708,0.030760218
20.49670154,0.006307355,-0.000218923,0.030058197,0.03071361
20.50676854,0.002104824,0.023276834,0.046977115,0.052469902
20.51683554,-0.00820231,0.020552488,0.069878905,0.073299004
20.52690254,-0.005872962,0.018722858,0.076159984,0.078647188
20.53696954,-0.028015773,0.022995692,0.091717671,0.098619554
20.54703654,-0.02727875,0.025516482,0.115356209,0.121252943
20.55710354,-0.02575503,0.034214434,0.105914125,0.11424426
20.56717154,0.007271058,0.025107067,0.074019903,0.078499549
20.57723854,0.00752586,0.010001279,0.051564841,0.053062199
20.58730554,0.01267447,0.011891318,0.033755391,0.037966723
20.59737254,0.033233162,-0.013951584,0.015052487,0.039059789
20.60743954,0.03077713,-0.018080559,-0.00155302,0.035728843
20.61750654,0.016042366,-0.024105256,0.005043224,0.02939141
20.62757354,0.027753736,-0.031619056,0.007896665,0.042806447
20.6376415,0.004811135,-0.028473309,-0.010653627,0.030779475
20.6477095,-0.003852657,-0.012683396,0.015245445,0.020202354
20.6577765,0.013706577,0.000124199,0.036948556,0.039409154
20.6678435,0.000446919,0.007363819,0.058500223,0.058963562
20.6779105,-0.015270497,0.024177981,0.091269189,0.095644277
20.6879775,-0.002464483,0.034069405,0.079878813,0.086875905
20.6980445,-0.006795917,0.042535972,0.107410428,0.115725941
20.7081115,-0.019980018,0.044970625,0.113541234,0.123746394
20.7181795,0.012090617,0.02587435,0.095872702,0.100036193
20.7282465,0.009700083,0.014449603,0.078511734,0.080417504
20.7383135,0.019373031,0.006240021,0.053217849,0.056977115
20.7483805,0.013178446,-0.005473067,0.01056358,0.017754298
20.7584475,0.022962829,-0.015908319,0.005633792,0.028497469
20.7685145,0.011557479,-0.0375288,-0.001243703,0.039287822
20.7785815,0.014540838,-0.026770033,-0.008123537,0.031528757
20.7886495,0.025472545,-0.023923645,-0.013957304,0.037629745
20.7987165,0.005111517,-0.022331211,0.00983794,0.02493182
20.8087835,-0.007403543,-0.004376604,0.021059332,0.022747804
20.8188505,-0.009531619,0.011639943,0.046949049,0.049300641
20.8289175,-0.004120697,0.025236802,0.083913977,0.08772361
20.8389845,-0.01967081,0.037052709,0.077173891,0.087838793
20.8490515,-0.032777874,0.03338698,0.118041251,0.126975652
20.8591185,-0.00442287,0.040865532,0.107264248,0.114870241
20.8691865,-0.010810963,0.028048911,0.106518143,0.110678512
20.8792535,-0.003632537,0.008660951,0.074637369,0.075225954
20.8893205,-0.019852814,-0.002984876,0.06581392,0.068807818
20.8993875,0.002473591,-0.007262808,0.02929455,0.030282631
20.9094545,0.017436516,-0.018841666,0.009688252,0.027439072
20.9195215,0.020846859,-0.042922053,-0.009924479,0.048737967
20.9295885,0.011875238,-0.032178982,-0.01786032,0.038671685
20.9396565,0.002271369,-0.022810774,-0.002144759,0.023023695
20.9497235,-0.00208096,-0.012158262,-0.001251889,0.012398425
20.9597905,0.00268876,-0.007536878,0.020445959,0.02195612
20.9698575,-0.001946145,0.021079085,0.042299927,0.047301154
20.9799245,-0.017991298,0.035471092,0.068048726,0.078819505
20.9899915,-0.014674392,0.04456576,0.090206165,0.101678892
21.0000585,-0.035809856,0.043615167,0.104281583,0.118571823
21.0101255,-0.021507859,0.037814437,0.101741552,0.110651991
21.0201935,-0.027202088,0.033034557,0.099648249,0.108448186
21.0302605,0.007631503,0.006532984,0.07884561,0.079483017
21.0403275,-0.009800409,0.008363181,0.077798374,0.078857959
21.0503945,0.007532959,0.002117313,0.05145082,0.052042438
21.0604615,0.020170034,-0.01220228,0.026451049,0.035431398
21.0705285,0.019275529,-0.017102448,0.017614737,0.031214079
21.0805955,0.004428489,-0.018407748,0.006230208,0.019931688
21.0906635,0.01564566,-0.015547911,0.013107119,0.025657762
21.1007305,0.017896628,-0.011174139,0.020887424,0.029688973
21.1107975,0.013722282,0.009917444,0.026275048,0.031257557
21.1208645,0.012777308,0.016666867,0.031968482,0.038249548
21.1309315,-0.011548059,0.020224203,0.053232467,0.058103972
21.1409985,-0.012391794,0.01968266,0.078386604,0.081764438
21.1510655,-0.01186221,0.035956192,0.087674321,0.095500504
21.1611335,-0.02906946,0.033448668,0.101300672,0.110569766
21.1712005,-0.02281589,0.008839693,0.089929592,0.093198908
21.1812675,-0.028162392,0.003291599,0.077956833,0.082953136
